ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785357099.313,2.8,2946,0.0,1544,4,0.0,0.0,0.0,0.0,53,1,44,8,0
1785357102.180,28.2,3060,0.0,1544,4,0.0,0.0,3.0,6.0,61,1,50,10,0
1785357104.351,94.8,3618,208.0,1544,4,1.0,129.0,13.0,10.0,73,17,8,48,0
1785357108.284,89.8,3756,367.0,1545,4,1.0,25.0,85.0,28.0,75,16,9,50,8
1785357110.678,99.0,3981,351.0,1545,4,1.0,44.0,82.0,14.0,77,20,18,39,7
1785357112.972,92.1,4069,319.0,1545,4,0.0,23.0,74.0,7.0,78,5,12,61,0
1785357115.289,87.9,4111,340.0,1545,4,0.0,12.0,47.0,3.0,78,6,18,54,0
1785357117.978,85.2,4141,370.0,1545,4,1.0,11.0,63.0,6.0,78,5,23,50,0
1785357120.484,87.5,4196,397.0,1544,4,1.0,16.0,66.0,4.0,78,7,27,44,2
1785357122.919,85.6,4232,407.0,1544,4,1.0,8.0,36.0,4.0,80,15,30,35,8
1785357125.244,87.2,4260,363.0,1556,4,4.0,10.0,57.0,3.0,80,12,32,36,1
