ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785360209.661,1.5,2509,0.0,1359,4,0.0,0.0,0.0,0.0,27,1,26,0,0
1785360211.292,23.0,2601,0.0,1359,4,0.0,0.0,2.0,0.0,27,10,9,8,0
1785360213.087,91.3,2960,66.0,1456,4,0.0,56.0,8.0,9.0,27,2,7,18,0
1785360216.051,94.4,3177,263.0,1361,4,1.0,58.0,37.0,35.0,37,9,9,19,0
1785360217.796,89.7,3326,387.0,1364,4,0.0,24.0,18.0,4.0,49,11,15,23,0
1785360219.553,84.7,3372,277.0,1369,4,0.0,4.0,17.0,4.0,51,11,11,29,2
1785360221.502,68.8,3379,342.0,1416,4,0.0,1.0,13.0,2.0,55,8,14,33,4
1785360223.940,80.7,3470,320.0,1452,4,3.0,13.0,65.0,7.0,60,15,17,28,6
1785360226.183,83.1,3595,376.0,1466,4,5.0,19.0,45.0,8.0,76,16,22,38,6
1785360228.568,86.1,3744,334.0,1482,4,2.0,18.0,82.0,4.0,79,14,13,52,0
1785360231.234,87.2,3849,352.0,1498,4,9.0,21.0,105.0,5.0,79,9,29,41,0
1785360233.713,88.3,3965,375.0,1513,4,3.0,22.0,97.0,4.0,71,15,34,22,4
1785360236.031,84.6,3979,379.0,1514,4,7.0,16.0,41.0,3.0,72,10,21,41,0
1785360238.170,90.3,3997,331.0,1521,4,1.0,18.0,94.0,6.0,72,4,34,34,0
1785360240.656,83.7,4030,340.0,1523,4,4.0,11.0,84.0,3.0,75,8,34,33,0
1785360242.798,90.2,4064,346.0,1529,4,8.0,21.0,71.0,5.0,69,8,27,34,1
1785360245.023,87.2,4021,309.0,1532,4,6.0,18.0,73.0,2.0,64,9,21,34,1
1785360247.347,82.2,4049,375.0,1533,4,3.0,11.0,60.0,2.0,69,8,19,42,0
1785360249.633,86.8,4134,333.0,1533,4,0.0,10.0,84.0,6.0,73,7,33,33,1
1785360251.964,85.3,4133,323.0,1533,4,5.0,11.0,97.0,4.0,68,4,25,39,0
1785360254.367,91.9,4107,305.0,1535,4,6.0,19.0,82.0,7.0,69,7,29,33,0
1785360256.398,86.9,4132,366.0,1536,4,4.0,24.0,74.0,4.0,65,6,23,36,0
1785360258.457,83.3,4170,333.0,1542,4,1.0,10.0,54.0,3.0,68,7,21,40,0
1785360260.578,87.2,4258,320.0,1552,4,0.0,9.0,55.0,1.0,70,3,43,24,0
1785360262.898,84.8,4250,342.0,1553,4,0.0,25.0,71.0,9.0,68,7,26,35,2
1785360265.158,86.0,4302,336.0,1554,4,1.0,18.0,66.0,4.0,74,1,35,38,0
1785360267.308,91.7,4385,318.0,1554,4,0.0,19.0,74.0,7.0,68,3,33,32,0
1785360269.516,86.1,4393,347.0,1554,4,2.0,8.0,56.0,6.0,60,1,36,23,0
1785360271.532,91.6,4296,269.0,1554,4,2.0,20.0,60.0,10.0,58,1,35,22,0
1785360273.521,83.8,4332,187.0,1554,4,3.0,15.0,34.0,10.0,58,1,40,17,0
1785360275.666,74.1,4371,210.0,1554,4,3.0,12.0,33.0,8.0,58,2,38,18,0
1785360277.950,80.1,4386,224.0,1554,4,0.0,15.0,36.0,11.0,58,1,38,19,0
